categoria,sku,slug,nombre,marca,descripcion_corta,precio,precio_antes,disponibilidad,garantia_meses,destacado,activo,categorias,medida,potencia_rms_w,impedancia_ohm,bobinas,profundidad_mm,sensibilidad_db,configuracion,canales,clase,formato,pantalla_pulg,carplay,android_auto,salidas_preamp_pares,salidas_preamp_voltaje,tipo_ecualizador,bandas,espesor_mm,cobertura_m2,material_insono,calibre_awg,material_conductor,capacidad_w,tipo_accesorio,longitud_m,spec_1_etiqueta,spec_1_valor,spec_2_etiqueta,spec_2_valor,spec_3_etiqueta,spec_3_valor,spec_4_etiqueta,spec_4_valor,spec_5_etiqueta,spec_5_valor,spec_6_etiqueta,spec_6_valor,spec_7_etiqueta,spec_7_valor,spec_8_etiqueta,spec_8_valor,spec_9_etiqueta,spec_9_valor,spec_10_etiqueta,spec_10_valor
Accesorios,ETP-17.4,memphis-etp-17-4,Cable RCA de 4 canales ETP de 17 pies ETP-17.4,Memphis,Cable de interconexión RCA de 4 canales y 17 pies con par trenzado,350,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,17,Canales,4 canales,Construcción,Par trenzado para rechazo de ruido,Conectores,Extremos moldeados con código de color por canal,Forro,PVC flexible M-Flex para instalación fácil,Línea,"Memphis Connection ETP, grado de desempeño",,,,,,,,,,
Accesorios,ETP-25,memphis-etp-25,Cable RCA de 2 canales ETP de 25 pies ETP-25,Memphis,Cable de interconexión RCA de 2 canales y 25 pies con par trenzado,220,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,25,Canales,2 canales,Construcción,Par trenzado para rechazo de ruido,Conectores,Extremos moldeados con código de color por canal,Forro,PVC flexible M-Flex para instalación fácil,Línea,"Memphis Connection ETP, grado de desempeño",,,,,,,,,,
Accesorios,ETP-3,memphis-etp-3,Cable RCA de 2 canales ETP de 3 pies ETP-3,Memphis,Cable de interconexión RCA de 2 canales y 3 pies con par trenzado,150,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,3,Canales,2 canales,Construcción,Par trenzado para rechazo de ruido,Conectores,Extremos moldeados con código de color por canal,Forro,PVC flexible M-Flex para instalación fácil,Línea,"Memphis Connection ETP, grado de desempeño",,,,,,,,,,
Accesorios,ETP-7,memphis-etp-7,Cable RCA de 2 canales ETP de 7 pies ETP-7,Memphis,Cable de interconexión RCA de 2 canales y 7 pies con par trenzado,175,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,7,Canales,2 canales,Construcción,Par trenzado para rechazo de ruido,Conectores,Extremos moldeados con código de color por canal,Forro,PVC flexible M-Flex para instalación fácil,Línea,"Memphis Connection ETP, grado de desempeño",,,,,,,,,,
Accesorios,ETP-YF,memphis-etp-yf,Adaptador Y ETP de 1 macho a 2 hembras ETP-YF,Memphis,Adaptador Y para señal RCA de un conector macho a dos hembras,90,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,adaptador,,Aplicación,Dividir una salida preamplificada hacia dos amplificadores,Configuración,1 conector macho a 2 hembras,Línea,Memphis Connection ETP,Conectores,Extremos moldeados con código de color,,,,,,,,,,,,
Accesorios,ETP-YM,memphis-etp-ym,Adaptador Y ETP de 2 machos a 1 hembra ETP-YM,Memphis,Adaptador Y para señal RCA de dos conectores macho a uno hembra,90,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,adaptador,,Aplicación,Combinar dos salidas preamplificadas en una sola entrada,Configuración,2 conectores macho a 1 hembra,Línea,Memphis Connection ETP,Conectores,Extremos moldeados con código de color,,,,,,,,,,,,
Accesorios,IOEM22,cerwin-vega-ioem22,Convertidor de línea de 2 canales IOEM22,Cerwin Vega,Convertidor de salida de bocina a señal RCA de 2 entradas y 2 salidas,300,,disponible,,VERDADERO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,,Aplicación,Integrar amplificadores a un sistema de fábrica sin salidas RCA,Canales,2 entradas / 2 salidas,Serie,IOEM,,,,,,,,,,,,,,
Accesorios,IOEM44,cerwin-vega-ioem44,Convertidor de línea de 4 canales IOEM44,Cerwin Vega,Convertidor de salida de bocina a señal RCA de 4 entradas y 4 salidas,850,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,,Aplicación,Integrar amplificadores a un sistema de fábrica sin salidas RCA,Canales,4 entradas / 4 salidas,Serie,IOEM,,,,,,,,,,,,,,
Accesorios,KCLOTH,kbt-kcloth,Cinta de tela adhesiva aislante KCLOTH,KBT,Cinta de tela adhesiva aislante de color negro para envolver cables reduciendo el aislamiento térmico y el ruido.,50,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,,Aplicación,"Aislante para reducir aislamiento térmico y ruido, resistente a altas temperaturas",Material,Tela,Marca,KBT,Color,Negro,,,,,,,,,,,,
Accesorios,KDB-201,kbt-kdb-201,Bloque de distribución KDB-201,KBT,Bloque distribuidor de corriente para instalaciones con varios amplificadores,400,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,distribuidor,,Aplicación,Sistemas con dos o más amplificadores desde un solo cable de batería,Función,Reparte la línea principal hacia varios amplificadores,Marca,KBT,Construcción,Terminales de entrada y salida de alta calidad para flujo de corriente estable,,,,,,,,,,,,
Accesorios,KDB-FH2,kbt-kdb-fh2,Portafusible KDB-FH2,KBT,Portafusible de dos posiciones con una entrada calibre 0 y dos salidas calibre 4,200,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,portafusible,,Entrada,Una de calibre 0 (1x0GA),Salidas,Dos de calibre 4 (2x4GA),Función,Protege con fusible y reparte la corriente hacia dos amplificadores,Instalación,"Cerca de la batería, en la línea principal de corriente",,,,,,,,,,,,
Accesorios,KDB-FH4,kbt-kdb-fh4,Portafusible y bloque KDB-FH4,KBT,Portafusible y bloque de distribución de cuatro posiciones con entradas calibre 0 y salidas calibre 4,400,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,portafusible,,Aplicación,Sistemas de alta potencia con varios amplificadores,Entradas,Cuatro de calibre 0 (4x0GA),Salidas,Cuatro de calibre 4 (4x4GA),Función,Protege con fusible y reparte la corriente hacia hasta cuatro amplificadores,Ventaja,Reemplaza portafusible y bloque distribuidor en una sola pieza,,,,,,,,,,
Accesorios,KEXP-12BK,kbt-kexp-12bk,"Funda expandible 1/2"" KEXP-12BK",KBT,"Funda expandible de 1/2"" para proteger y ordenar el cableado",250,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,conector,,Diámetro,"1/2""",Color,Negro,Función,"Protege el cableado de roce y calor, y mantiene la instalación ordenada",Instalación,Se desliza sobre el mazo de cables y se expande para pasar conectores,,,,,,,,,,,,
Accesorios,KEXP-14BK,kbt-kexp-14bk,"Funda expandible 1/4"" KEXP-14BK",KBT,"Funda expandible de 1/4"" para proteger y ordenar el cableado",225,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,conector,,Diámetro,"1/4""",Color,Negro,Función,"Protege el cableado de roce y calor, y mantiene la instalación ordenada",Instalación,Se desliza sobre el mazo de cables y se expande para pasar conectores,,,,,,,,,,,,
Accesorios,KEXP-34,kbt-kexp-34,"Funda expandible 3/4"" KEXP-34",KBT,"Funda expandible de 3/4"" para proteger y ordenar el cableado",300,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,conector,,Diámetro,"3/4""",Color,Natural,Función,"Protege el cableado de roce y calor, y mantiene la instalación ordenada",Instalación,Se desliza sobre el mazo de cables y se expande para pasar conectores,,,,,,,,,,,,
Accesorios,KHL-2,kbt-khl-2,Convertidor de alta a baja KHL-2,KBT,Convertidor de señal de alta a baja de 2 entradas y 2 salidas,150,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,,Aplicación,Conectar un amplificador a un radio de fábrica que no tiene salidas RCA,Entradas,"2 de nivel alto, desde las salidas de bocina del radio",Salidas,"2 de nivel bajo, RCA",Ventaja,Permite amplificar sin cambiar el radio original del vehículo,,,,,,,,,,,,
Accesorios,KHL-4,kbt-khl-4,Convertidor de alta a baja KHL-4,KBT,Convertidor de señal de alta a baja de 2 entradas y 4 salidas,190,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,,Aplicación,"Alimentar un amplificador de 4 canales, o dos amplificadores, desde un radio de fábrica",Entradas,"2 de nivel alto, desde las salidas de bocina del radio",Salidas,"4 de nivel bajo, RCA",Diferencia con el KHL-2,Duplica las salidas manteniendo las mismas 2 entradas,,,,,,,,,,,,
Accesorios,KSE-1X12LINEX,kbt-kse-1x12linex,"Cajón porteado sencillo 12"" con recubrimiento Linex",KBT,Cajón porteado para un subwoofer de 12 pulgadas en MDF con recubrimiento de poliuretano,1250,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,otro,,Capacidad recomendada,Un subwoofer de 12 pulgadas,Acabado,Poliuretano elastómero,Material,MDF con acabado de poliuretano elastómero pulverizado de alto rendimiento,Medidas,47 × 38 cm,Ventaja,El recubrimiento de poliuretano resiste golpes y humedad mejor que la alfombra,Salida,De alta eficiencia,,,,,,,,
Accesorios,KSE-2X12LINEX,kbt-kse-2x12linex,"Cajón porteado doble 12"" con recubrimiento Linex",KBT,Cajón porteado para dos subwoofers de 12 pulgadas en MDF con recubrimiento de poliuretano,2000,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,otro,,Capacidad recomendada,Dos subwoofers de 12 pulgadas,Acabado,Poliuretano elastómero,Material,MDF con acabado de poliuretano elastómero pulverizado de alto rendimiento,Medidas,89 × 38 cm,Ventaja,El recubrimiento de poliuretano resiste golpes y humedad mejor que la alfombra,Salida,De alta eficiencia,,,,,,,,
Accesorios,KSM-8,kbt-ksm-8,"Alza para bocinas de 6.5""",KBT,Alzas para bocinas de 6.5 pulgadas compatibles con varios modelos de vehículos,150,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,,Marca,KBT,Función,"Alza diseñada para elevar bocinas de 6.5'' a una altura óptima, lo que mejora la dispersión del sonido y la experiencia auditiva",Serie,KSM,Material,Plástico,Color,Negro,,,,,,,,,,
Accesorios,KSSC-65,kbt-kssc-65,"Separadores para bocina 6.5"" KSSC-65",KBT,Par de separadores de montaje para bocinas de 6.5 pulgadas,275,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,otro,,Diámetro,"6.5"" (16.5 cm)",Contenido,Par de separadores,Función,Gana profundidad de montaje cuando la bocina de reemplazo no cabe en la ubicación de fábrica,,,,,,,,,,,,,,
Accesorios,KUE-1X12PC,kbt-kue-1x12pc,"Cajón porteado sencillo 12"" alfombrado",KBT,"Cajón porteado para un subwoofer de 12 pulgadas con acabado en alfombra premium, sintonizado a 45 Hz",950,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,otro,,Capacidad recomendada,Un subwoofer de 12 pulgadas,Sintonía,45 Hz,Material,Alfombra premium,Dimensiones,"38 × 47 × 37 cm (15"" alto × 18.5"" ancho × 14.5"" largo)",Área del puerto,"27.5""",Puerto,"2 × 13.75"", profundidad de 11.75""",Ventaja,Sintonizada de fábrica: no hay que calcular el puerto,,,,,,
Accesorios,LL6SA,memphis-ll6sa,Adaptador de nivel de línea de 6 canales LL6SA,Memphis,Adaptador de salida de bocina a señal RCA de 6 canales,2000,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,adaptador,,Aplicación,Conectar amplificadores a un sistema de fábrica que no tiene salidas RCA,Canales,6 canales,Instalación,Se conecta a las salidas de bocina del radio original,,,,,,,,,,,,,,
Accesorios,MEMBX,memphis-membx,Control remoto de graves Memphis MEMBX,Memphis,Control remoto de nivel de graves para amplificadores Memphis,1500,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,,Función,Sube o baja el nivel del canal de subwoofer desde el asiento del conductor,Marca,Memphis,Instalación,Se conecta al puerto de remoto del amplificador,Compatibilidad,Verificar el modelo de amplificador antes de instalar,,,,,,,,,,,,
Accesorios,MFLOWBTK,memphis-mflowbtk,Bocina Bluetooth MFLOWBTK,Memphis,Módulo receptor Bluetooth para agregar audio inalámbrico al sistema,1800,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,otro,,Aplicación,Radios de fábrica o amplificados sin conectividad inalámbrica,Función,Permite transmitir audio desde el teléfono a un sistema que no tiene Bluetooth,Instalación,Se conecta a una entrada auxiliar o de nivel de línea del sistema,,,,,,,,,,,,,,
Accesorios,MXA1MC,memphis-mxa1mc,Controlador tipo reloj MXA1MC,Memphis,Controlador de fuente con formato de reloj para instalaciones powersports y marinas,2800,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,otro,,Aplicación,Instalaciones powersports y marinas donde no cabe un radio convencional,Formato,"Tipo reloj (gauge style), se monta en el tablero",Serie,MXA,,,,,,,,,,,,,,
Accesorios,NPBAT,memphis-npbat,Batería auxiliar Memphis NPBAT,Memphis,Batería auxiliar para respaldar sistemas de audio de alta demanda,250,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,distribuidor,,Aplicación,Sistemas de alta potencia donde la batería del vehículo no da abasto,Función,Estabiliza el voltaje y respalda la corriente en picos de demanda del amplificador,Instalación,"En paralelo con la batería principal, requiere aislador o distribuidor",,,,,,,,,,,,,,
Accesorios,OEMBKT60,memphis-oembkt60,"Adaptadores de bocina de 6.5"" OEMBKT60",Memphis,Par de adaptadores para instalar bocinas de 6.5 pulgadas en ubicaciones de fábrica,250,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,adaptador,,Diámetro,"6.5"" (16.5 cm)",Contenido,Par de adaptadores,Función,Permite montar una bocina de reemplazo en una ubicación de fábrica de distinta medida,Instalación,Se atornilla entre el panel y la bocina,,,,,,,,,,,,
Accesorios,OEMBKT69,memphis-oembkt69,"Adaptadores de bocina de 6x9"" OEMBKT69",Memphis,Par de adaptadores para instalar bocinas de 6x9 pulgadas en ubicaciones de fábrica,250,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,adaptador,,Diámetro,"6x9"" (15 × 23 cm)",Contenido,Par de adaptadores,Función,Permite montar una bocina de reemplazo en una ubicación de fábrica de distinta medida,Instalación,Se atornilla entre el panel y la bocina,,,,,,,,,,,,
Accesorios,PEMR1X10,memphis-pemr1x10,"Cajón vacío para subwoofer de 10"" PEMR1X10",Memphis,Cajón vacío alfombrado para un subwoofer de 10 pulgadas,750,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,otro,,Aplicación,Alojar un subwoofer comprado por separado sin fabricar caja a medida,Capacidad recomendada,Un subwoofer de 10 pulgadas,Acabado,Alfombrado,,,,,,,,,,,,,,
Accesorios,PEMR1X12,memphis-pemr1x12,"Cajón vacío para subwoofer de 12"" PEMR1X12",Memphis,Cajón vacío alfombrado para un subwoofer de 12 pulgadas,900,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,otro,,Aplicación,Alojar un subwoofer comprado por separado sin fabricar caja a medida,Capacidad recomendada,Un subwoofer de 12 pulgadas,Acabado,Alfombrado,,,,,,,,,,,,,,
Accesorios,RCA-1MBR,kbt-rca-1mbr,Cable RCA de 1m RCA-1MBR,KBT,Cable de señal RCA de 1 metros con blindaje trenzado,40,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,1,Aplicación,Conectar las salidas preamplificadas del radio a la entrada del amplificador,Canales,2 canales,Construcción,Trenzado y blindado para rechazo de ruido,,,,,,,,,,,,,,
Accesorios,RCA-2MBR,kbt-rca-2mbr,Cable RCA de 2m RCA-2MBR,KBT,Cable de señal RCA de 2 metros con blindaje trenzado,50,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,2,Aplicación,Conectar las salidas preamplificadas del radio a la entrada del amplificador,Canales,2 canales,Construcción,Trenzado y blindado para rechazo de ruido,,,,,,,,,,,,,,
Accesorios,RCA-3MBR,kbt-rca-3mbr,"Cable RCA de 3m RCA-3MBR ",KBT,Cable de señal RCA de 3 metros con blindaje trenzado,50,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,3,Aplicación,Conectar las salidas preamplificadas del radio a la entrada del amplificador,Canales,2 canales,Construcción,Trenzado y blindado para rechazo de ruido,,,,,,,,,,,,,,
Accesorios,RCA-5MBR,kbt-rca-5mbr,Cable RCA de 5m RCA-5MBR,KBT,Cable de señal RCA de 5 metros con blindaje trenzado,60,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,5,Aplicación,Conectar las salidas preamplificadas del radio a la entrada del amplificador,Canales,2 canales,Construcción,Trenzado y blindado para rechazo de ruido,,,,,,,,,,,,,,
Accesorios,RCA-Y1F2MBR,kbt-rca-y1f2mbr,Adaptador Y de 1 hembra a 2 machos RCA,KBT,Adaptador Y para señal RCA de una entrada hembra a dos salidas macho,30,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,adaptador,,Aplicación,Dividir una salida preamplificada hacia dos amplificadores,Configuración,1 conector hembra a 2 machos,Marca,KBT,Construcción,Blindado,,,,,,,,,,,,
Accesorios,RCA-Y2F1MBR,kbt-rca-y2f1mbr,Adaptador Y de 2 hembras a 1 macho RCA,KBT,Adaptador Y para señal RCA de dos entradas hembra a una salida macho,30,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,adaptador,,Aplicación,Combinar dos salidas preamplificadas en una sola entrada,Configuración,2 conectores hembra a 1 macho,Marca,KBT,Construcción,Blindado,,,,,,,,,,,,
Accesorios,RFD4,rockford-fosgate-rfd4,Bloque de distribución de 1 entrada y 3 salidas RFD4,Rockford Fosgate,Bloque distribuidor de latón macizo con una entrada calibre 0 o 4 y tres salidas calibre 4 u 8,300,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,distribuidor,,Entradas,"Una, admite calibre 1/0 o 4 AWG",Salidas,"Tres, admiten calibre 4 u 8 AWG",Ajuste de calibre,Anillos adaptadores internos removibles para cambiar de medida,Material,Latón macizo maquinado a la medida,Acabado,Platinado HPP de alta resistencia a la corrosión,Dimensiones,60 × 51 × 35 mm aproximados,Montaje,"Dos barrenos de 3/16"" separados 1 3/4"" centro a centro",,,,,,
Accesorios,RFI-16,rockford-fosgate-rfi-16,Cable RCA de 2 canales y 16 pies RFI-16,Rockford Fosgate,Cable de señal RCA de par trenzado de 16 pies con extremos platinados,150,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,16,Canales,2 canales,Construcción,Par trenzado con 3 vueltas por pulgada: los conductores alternan polaridad y cancelan el ruido,Conductor,Cobre libre de oxígeno (OFC),Conectores,Extremos platinados con pin central dividido para contacto firme,Blindaje,Forro esmerilado flexible con rechazo de interferencia RFI y EMI,Garantía,1 año,,,,,,,,
Accesorios,RFI-6,rockford-fosgate-rfi-6,Cable RCA de 2 canales y 16 pies RFI-6,Rockford Fosgate,Cable de señal RCA de par trenzado de 6 pies con extremos platinados,150,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,6,Canales,2 canales,Construcción,Par trenzado con 3 vueltas por pulgada: los conductores alternan polaridad y cancelan el ruido,Conductor,Cobre libre de oxígeno (OFC),Conectores,Extremos platinados con pin central dividido para contacto firme,Blindaje,Forro esmerilado flexible con rechazo de interferencia RFI y EMI,Garantía,1 año,,,,,,,,
Accesorios,ROLLER,soundskins-roller,Rodillo aplicador,SoundSkins,Rodillo de mano para adherir la lámina insonorizante a la superficie,125,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,otro,,Material,Rodillo con mango,Uso,Presiona la lámina contra el metal para eliminar burbujas de aire,Importancia,Sin rodillo el butilo no adhiere completo y la lámina puede despegarse,Aplicación,Todas las láminas de butilo de la línea SoundSkins,,,,,,,,,,,,
Accesorios,RV12,cerwin-vega-rv12,Cable RCA de 2 canales y 12 pies RV12,Cerwin Vega,Cable de señal RCA de 2 canales y 12 pies con par trenzado dual,100,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,12,Canales,2 canales,Conductor,Cobre libre de oxígeno (OFC),Terminales,Extremos moldeados dobles,Serie,Vega,,,,,,,,,,,,
Accesorios,RV17,cerwin-vega-rv17,Cable RCA de 2 canales y 17 pies RV17,Cerwin Vega,Cable de señal RCA de 2 canales y 17 pies con par trenzado dual,125,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,17,Canales,2 canales,Conductor,Cobre libre de oxígeno (OFC),Terminales,Extremos moldeados dobles,Serie,Vega,,,,,,,,,,,,
Accesorios,RV410,cerwin-vega-rv410,Cable RCA de 4 canales y 10 pies RV410,Cerwin Vega,Cable de señal RCA de 4 canales y 10 pies con par trenzado dual,175,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,10,Canales,4 canales,Conductor,Cobre libre de oxígeno (OFC),Terminales,Extremos moldeados dobles,Serie,Vega,,,,,,,,,,,,
Accesorios,RV417,cerwin-vega-rv417,Cable RCA de 4 canales y 17 pies RV417,Cerwin Vega,Cable de señal RCA de 4 canales y 17 pies con par trenzado dual,175,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,17,Canales,4 canales,Conductor,Cobre libre de oxígeno (OFC),Terminales,Extremos moldeados dobles,Serie,Vega,,,,,,,,,,,,
Accesorios,RV46,cerwin-vega-rv46,Cable RCA de 4 canales y 6 pies RV46,Cerwin Vega,Cable de señal RCA de 4 canales y 6 pies con par trenzado dual,150,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,6,Canales,4 canales,Conductor,Cobre libre de oxígeno (OFC),Terminales,Extremos moldeados dobles,Serie,Vega,,,,,,,,,,,,
